bairro,tipo,quartos,banheiros,vagas,area,valor_aluguel
Itaim Bibi,casa,1,1,0,46.9,7094
Butantã,apto,2,1,0,67.5,5193
Itaim Bibi,apto,2,1,0,59.0,6948
Tatuapé,apto,2,2,2,76.5,5897
Butantã,kitnet,3,2,0,79.3,6909
Moema,kitnet,2,1,2,55.0,7948
Butantã,apto,2,2,1,23.0,4758
Itaim Bibi,apto,1,1,2,44.9,6788
Tatuapé,apto,1,1,0,58.0,3800
Butantã,kitnet,3,2,2,44.5,4760
Tatuapé,kitnet,2,1,1,38.9,4985
Itaim Bibi,kitnet,3,2,2,61.4,7714
Vila Mariana,apto,2,1,2,108.6,8154
Butantã,casa,2,2,1,50.2,5812
Tatuapé,apto,2,1,2,59.9,4286
Itaim Bibi,kitnet,2,1,0,33.8,5727
Moema,casa,1,2,1,84.9,9243
Butantã,apto,1,1,1,77.5,4861
Pinheiros,kitnet,2,2,2,76.1,6507
Pinheiros,casa,2,2,2,87.2,8457
Tatuapé,casa,2,1,2,51.5,4325
Itaim Bibi,apto,2,2,2,54.0,6282
Itaim Bibi,apto,1,1,2,94.2,8342
Moema,kitnet,3,2,2,72.7,8146
Tatuapé,apto,2,2,1,20.0,4357
Tatuapé,apto,1,1,0,69.1,3523
Butantã,kitnet,2,2,2,48.4,6017
Tatuapé,apto,3,1,0,78.0,5986
Moema,casa,3,2,0,68.2,6074
Butantã,kitnet,1,2,2,25.2,4361
Pinheiros,casa,3,1,0,65.4,6630
Butantã,casa,2,2,0,64.2,6460
Pinheiros,apto,2,2,1,67.3,7234
Vila Mariana,casa,2,1,1,71.5,6850
Itaim Bibi,casa,3,2,0,89.9,8429
Itaim Bibi,casa,1,2,1,68.3,6616
Butantã,apto,1,1,0,60.5,4093
Itaim Bibi,apto,2,2,0,83.0,7800
Tatuapé,kitnet,1,2,0,104.9,6716
Moema,kitnet,3,1,2,78.3,8526
Pinheiros,kitnet,3,1,1,64.1,6144
Pinheiros,apto,2,1,2,68.7,6197
Vila Mariana,kitnet,3,1,0,65.1,7226
Pinheiros,apto,1,2,2,60.4,6177
Tatuapé,casa,2,1,2,103.3,6323
Itaim Bibi,apto,2,1,1,45.0,7699
Butantã,kitnet,1,2,2,83.1,5061
Moema,apto,1,2,1,57.5,4936
Butantã,kitnet,2,2,1,30.4,3929
Butantã,apto,2,2,2,56.2,5881
Butantã,kitnet,1,2,1,49.1,4272
Moema,casa,2,1,1,71.6,6198
Vila Mariana,apto,3,2,2,61.8,8168
Butantã,apto,1,2,1,39.6,4318
Vila Mariana,kitnet,3,1,0,89.4,7494
Moema,apto,2,1,2,81.8,8390
Pinheiros,apto,2,1,2,91.7,6513
Itaim Bibi,casa,3,1,0,64.7,8084
Tatuapé,apto,2,2,2,59.3,6305
Pinheiros,apto,3,2,0,74.1,8434
Vila Mariana,casa,1,1,0,48.5,5131
Tatuapé,kitnet,1,2,2,62.6,5389
Tatuapé,kitnet,2,2,1,56.5,3805
Itaim Bibi,kitnet,1,1,1,30.8,5711
Vila Mariana,apto,1,2,1,62.5,4911
Butantã,casa,2,2,0,51.2,5961
Moema,apto,3,2,2,55.1,9259
Itaim Bibi,kitnet,1,2,0,67.3,6158
Vila Mariana,casa,3,1,2,85.5,7627
Pinheiros,apto,2,2,2,43.0,6690
Pinheiros,kitnet,1,1,0,53.3,5819
Moema,apto,1,2,1,44.7,5000
Butantã,apto,3,2,0,43.4,3634
Pinheiros,kitnet,1,1,1,48.1,5274
Moema,casa,2,1,1,56.1,4957
Pinheiros,kitnet,3,1,0,71.7,7178
Butantã,casa,2,1,2,66.4,6066
Itaim Bibi,kitnet,1,2,2,38.9,7655
Itaim Bibi,casa,1,1,0,85.9,6578
Itaim Bibi,apto,3,1,2,78.9,8996
Tatuapé,apto,2,1,2,42.0,5180
Itaim Bibi,kitnet,1,2,1,84.5,6794
Pinheiros,apto,1,1,2,66.5,6828
Butantã,casa,2,1,0,56.9,4926
Itaim Bibi,apto,1,1,2,67.2,6630
Itaim Bibi,apto,2,1,2,59.5,7698
Moema,casa,1,1,1,70.9,6616
Itaim Bibi,apto,3,1,2,63.7,9036
Moema,casa,2,1,2,53.3,6909
Pinheiros,kitnet,3,1,2,20.0,6282
Butantã,apto,1,2,1,70.5,4620
Vila Mariana,apto,2,1,2,52.5,5226
Pinheiros,apto,1,2,1,75.6,6604
Tatuapé,kitnet,2,2,1,69.6,4872
Vila Mariana,casa,3,2,0,53.0,7132
Butantã,casa,1,2,0,80.5,5588
Moema,apto,3,2,2,64.1,8011
Pinheiros,kitnet,2,1,1,63.3,6569
Butantã,apto,3,2,1,57.2,5501
Tatuapé,kitnet,1,1,2,93.7,4227
Vila Mariana,apto,3,1,0,45.7,5394
Itaim Bibi,kitnet,2,2,0,53.5,7166
Tatuapé,apto,1,2,0,35.3,3975
Pinheiros,apto,1,1,0,74.5,5856
Itaim Bibi,casa,3,2,1,48.4,8777
Moema,apto,3,2,2,50.6,7433
Itaim Bibi,apto,1,1,0,49.7,5688
Butantã,casa,2,2,1,61.3,6853
Tatuapé,apto,3,2,0,35.0,3405
Itaim Bibi,casa,2,2,2,20.0,6438
Vila Mariana,kitnet,1,2,1,69.2,5017
Vila Mariana,apto,2,2,0,20.0,4644
Moema,casa,2,1,1,77.1,7265
Butantã,apto,1,2,1,91.2,6217
Tatuapé,casa,3,1,2,56.7,6006
Moema,apto,1,2,0,86.0,6235
Itaim Bibi,apto,3,1,2,59.5,7815
Butantã,apto,3,2,2,92.0,7459
Butantã,kitnet,3,2,0,50.9,6218
Vila Mariana,apto,3,1,2,20.0,7646
Itaim Bibi,kitnet,1,2,2,58.4,7814
Tatuapé,kitnet,1,1,1,94.2,4415
Moema,casa,3,1,0,70.7,7746
Moema,apto,3,1,1,49.7,7636
Pinheiros,kitnet,3,2,1,66.6,7182
Vila Mariana,kitnet,2,1,0,79.4,6559
Tatuapé,apto,2,2,1,58.3,3432
Butantã,kitnet,1,2,2,112.5,7118
Butantã,kitnet,1,1,1,49.7,3708
Vila Mariana,apto,2,1,2,80.1,6714
Itaim Bibi,apto,1,1,0,75.2,7930
Pinheiros,kitnet,1,1,2,46.0,4471
Itaim Bibi,apto,1,2,1,51.5,6964
Moema,casa,1,1,0,80.4,7346
Moema,apto,3,1,2,62.9,8323
Itaim Bibi,kitnet,3,2,1,66.8,7311
Moema,apto,3,2,1,27.3,8299
Itaim Bibi,apto,1,2,0,73.1,6925
Tatuapé,apto,2,2,2,65.7,5350
Butantã,apto,3,2,0,58.7,5613
Tatuapé,casa,2,2,0,67.2,4911
Vila Mariana,apto,2,1,0,51.8,4402
Itaim Bibi,kitnet,3,1,1,48.2,7777
Moema,casa,3,1,0,55.2,6877
Tatuapé,apto,3,2,2,50.7,6558
Pinheiros,kitnet,2,2,0,103.6,8122
Pinheiros,casa,2,2,2,78.2,8848
Tatuapé,kitnet,3,2,2,40.6,5550
Vila Mariana,apto,3,1,2,100.7,7479
Butantã,kitnet,2,2,0,51.3,3764
Butantã,casa,2,1,0,60.6,6572
Itaim Bibi,kitnet,2,2,2,77.9,9068
Itaim Bibi,casa,1,1,1,20.6,4864
Tatuapé,kitnet,2,1,2,55.3,6412
Pinheiros,casa,2,2,0,48.5,7141
Moema,apto,3,2,1,64.1,7242
Moema,apto,2,2,0,67.4,6819
Butantã,kitnet,1,2,1,58.5,4648
Vila Mariana,kitnet,3,1,0,57.5,5370
Moema,casa,2,2,2,81.3,8362
Moema,kitnet,1,2,1,66.0,7550
Pinheiros,apto,3,2,0,60.8,6026
Pinheiros,apto,2,1,1,63.0,6623
Moema,casa,2,1,1,96.7,9136
Pinheiros,casa,3,2,2,63.5,8124
Pinheiros,kitnet,3,1,1,49.7,6631
Moema,kitnet,2,2,1,21.8,5820
Vila Mariana,apto,2,2,2,31.3,6404
Tatuapé,kitnet,3,2,1,50.7,4778
Pinheiros,casa,1,2,2,57.8,6429
Vila Mariana,kitnet,3,1,2,48.9,6587
Moema,apto,2,1,2,67.0,8511
Butantã,apto,3,2,2,48.6,5693
Tatuapé,apto,2,1,2,41.7,4253
Butantã,kitnet,3,1,1,72.3,5174
Moema,apto,1,2,1,87.4,7971
Moema,kitnet,3,2,0,37.9,6897
Moema,kitnet,1,1,2,64.9,6157
Butantã,apto,2,2,2,21.9,4044
Butantã,kitnet,1,1,2,30.5,4245
Butantã,apto,3,1,2,48.2,4864
Itaim Bibi,apto,3,2,1,82.7,8270
Tatuapé,casa,1,1,0,44.4,4150
Tatuapé,apto,3,2,2,43.7,5677
Butantã,apto,1,1,2,60.7,5486
Vila Mariana,apto,2,2,2,60.7,6335
Moema,casa,1,2,1,44.3,6328
Butantã,apto,1,2,1,99.7,6117
Moema,apto,1,1,0,54.7,7051
Vila Mariana,casa,2,1,0,62.3,6713
Tatuapé,casa,2,2,2,52.0,6282
Vila Mariana,kitnet,3,2,0,68.8,6461
Butantã,apto,1,2,0,84.7,4452
Butantã,casa,3,2,2,93.3,8107
Vila Mariana,kitnet,1,1,1,44.8,5844
Tatuapé,casa,1,2,0,82.0,5891
Butantã,apto,1,2,1,71.0,5140
Itaim Bibi,casa,1,2,1,79.5,8167
Vila Mariana,casa,2,2,0,58.2,6541
Tatuapé,apto,3,1,1,56.3,5607
Tatuapé,casa,3,1,1,78.7,6315
Tatuapé,apto,3,1,2,79.1,6551
Pinheiros,casa,2,2,0,91.3,6709
Vila Mariana,kitnet,1,1,2,64.0,5070
Butantã,casa,2,1,0,57.9,4175
Vila Mariana,kitnet,3,1,2,20.0,4421
Vila Mariana,apto,1,1,2,27.8,4648
Vila Mariana,kitnet,1,2,1,52.1,5331
Vila Mariana,kitnet,3,2,0,38.0,6649
Pinheiros,kitnet,1,1,0,76.3,6797
Moema,kitnet,3,2,1,33.8,8473
Butantã,casa,3,2,2,50.0,7334
Pinheiros,casa,2,2,2,50.8,6117
Vila Mariana,kitnet,2,1,0,84.1,5177
Pinheiros,kitnet,1,2,0,47.8,6080
Tatuapé,casa,2,1,1,69.0,6277
Vila Mariana,apto,3,2,1,63.9,8362
Itaim Bibi,apto,3,1,2,78.1,9230
Tatuapé,apto,2,2,2,77.0,4513
Itaim Bibi,apto,3,1,1,59.3,8272
Tatuapé,apto,3,2,1,26.1,5427
Moema,apto,1,2,1,55.4,7663
Butantã,kitnet,2,1,1,59.6,6232
Moema,apto,2,2,2,65.7,8699
Butantã,casa,2,2,0,45.2,4288
Butantã,casa,3,1,2,82.8,5961
Tatuapé,apto,3,1,2,60.3,6335
Itaim Bibi,kitnet,2,2,1,41.6,6514
Vila Mariana,kitnet,1,2,1,50.8,6505
Itaim Bibi,kitnet,3,2,1,98.6,8193
Itaim Bibi,kitnet,3,2,2,73.3,9552
Butantã,casa,3,2,0,81.0,6785
Vila Mariana,kitnet,2,1,1,39.2,5110
Itaim Bibi,apto,1,1,1,46.2,5447
Moema,kitnet,2,1,2,46.4,5342
Vila Mariana,kitnet,1,1,0,63.7,4585
Vila Mariana,apto,2,2,0,56.5,5484
Tatuapé,casa,3,2,1,50.2,6596
Vila Mariana,casa,1,1,1,52.7,4355
Pinheiros,apto,3,2,2,44.1,7586
Moema,kitnet,1,1,0,56.4,4958
Tatuapé,apto,1,1,0,82.3,4952
Vila Mariana,apto,3,2,1,29.7,4302
Butantã,apto,1,2,1,66.9,6684
Itaim Bibi,kitnet,3,2,0,87.6,8815
Tatuapé,apto,3,1,0,56.3,2954
Butantã,casa,1,2,1,49.4,3908
Moema,kitnet,1,2,0,78.5,6354
Pinheiros,apto,1,1,2,40.3,4785
Pinheiros,kitnet,1,1,0,59.5,4995
Butantã,apto,3,1,2,39.2,4946
Butantã,kitnet,3,2,0,22.6,4125
Itaim Bibi,apto,3,1,1,57.0,6982
Pinheiros,apto,3,1,2,34.7,7199
Vila Mariana,kitnet,3,1,1,59.8,7554
Pinheiros,kitnet,3,1,2,82.3,7765
Pinheiros,kitnet,3,2,0,97.1,8198
Vila Mariana,kitnet,2,2,2,61.9,5755
Tatuapé,casa,3,1,0,80.4,5968
Pinheiros,apto,1,1,1,68.0,6023
Butantã,apto,2,1,0,52.3,4395
Moema,casa,3,2,2,21.5,7662
Vila Mariana,casa,1,1,0,92.5,6123
Tatuapé,casa,1,2,2,39.0,3427
Itaim Bibi,apto,1,1,1,87.7,8384
Vila Mariana,casa,1,1,1,70.7,5356
Pinheiros,apto,2,2,1,40.5,7455
Pinheiros,apto,3,1,0,66.2,7224
Butantã,apto,1,2,0,102.7,7356
Pinheiros,casa,3,2,2,90.7,9562
Tatuapé,casa,3,1,2,49.7,5774
Moema,apto,3,2,2,45.8,7494
Itaim Bibi,casa,3,2,1,62.0,7899
Pinheiros,apto,1,2,0,56.7,6027
Butantã,apto,2,1,1,84.0,5934
Itaim Bibi,apto,3,1,1,74.8,7973
Moema,casa,3,2,1,26.2,7851
Vila Mariana,kitnet,2,2,1,69.2,6606
Butantã,apto,3,1,2,56.4,6664
Vila Mariana,apto,3,2,1,60.7,6242
Moema,apto,1,2,0,65.0,7449
Moema,casa,3,2,2,84.0,9620
Vila Mariana,kitnet,1,2,1,79.6,7145
Moema,apto,2,1,1,45.0,7432
Pinheiros,casa,1,2,1,58.8,5897
Pinheiros,kitnet,3,1,2,51.0,6899
Vila Mariana,kitnet,1,1,2,26.4,5917
Pinheiros,casa,2,2,2,57.8,6702
Moema,kitnet,3,1,1,96.9,9506
Butantã,kitnet,3,2,0,25.8,4568
Pinheiros,kitnet,1,1,1,59.5,4096
Pinheiros,apto,3,1,2,58.9,6284
Pinheiros,apto,2,1,2,65.8,7097
Tatuapé,apto,3,2,2,40.7,6283
Vila Mariana,kitnet,2,1,2,31.5,5672
Moema,casa,1,1,1,32.4,6490
Pinheiros,apto,1,1,0,86.6,6412
Vila Mariana,casa,1,1,1,40.3,3990
Moema,apto,3,2,0,50.0,8076
Moema,kitnet,3,1,2,102.1,9498
Tatuapé,casa,2,1,2,45.3,4299
Itaim Bibi,kitnet,3,1,1,66.8,8583
Moema,apto,1,1,1,81.3,7102
Butantã,casa,3,1,0,80.3,5625
Tatuapé,apto,1,2,0,33.4,3359
Vila Mariana,kitnet,1,1,0,45.7,5603
Vila Mariana,casa,3,1,0,66.0,7586
Vila Mariana,casa,2,1,0,98.6,6908
Tatuapé,casa,1,2,2,44.8,4489
Vila Mariana,apto,3,2,2,50.1,5857
Butantã,kitnet,1,2,1,68.4,6427
Moema,casa,3,2,0,72.4,9101
Butantã,kitnet,1,1,2,73.6,5710
Itaim Bibi,apto,1,2,1,43.1,4672
Moema,apto,1,2,1,49.4,6514
Vila Mariana,kitnet,2,1,1,64.3,5928
Itaim Bibi,apto,1,2,1,85.2,8304
Vila Mariana,apto,1,2,2,55.2,5396
Vila Mariana,kitnet,3,2,2,59.6,7101
Butantã,apto,2,1,1,39.5,4980
Moema,apto,2,2,2,97.3,8299
Pinheiros,casa,1,2,2,63.1,5933
Moema,apto,1,1,0,81.6,6901
Moema,apto,1,2,2,60.6,8189
Butantã,apto,3,2,1,61.7,6898
Itaim Bibi,apto,1,1,0,30.0,6260
Vila Mariana,apto,1,1,2,20.0,4351
Pinheiros,kitnet,3,1,2,85.0,9247
Tatuapé,apto,2,2,1,61.6,3954
Pinheiros,apto,3,2,0,64.1,8842
Vila Mariana,apto,2,1,2,35.0,7172
Pinheiros,casa,3,2,2,41.9,7523
Pinheiros,kitnet,3,2,0,81.2,8403
Butantã,casa,2,2,1,94.8,6514
Pinheiros,apto,3,2,0,47.6,6560
Pinheiros,apto,2,2,0,73.4,6314
Butantã,casa,3,2,1,63.8,6275
Vila Mariana,apto,2,2,0,57.6,6372
Itaim Bibi,kitnet,3,2,1,97.0,9847
Pinheiros,kitnet,2,1,1,50.9,7617
Pinheiros,casa,2,2,1,84.8,7525
Pinheiros,kitnet,2,2,2,67.6,6038
Itaim Bibi,apto,3,2,0,59.7,9405
Tatuapé,apto,3,1,2,87.4,5746
Moema,kitnet,3,2,0,65.8,7627
Vila Mariana,kitnet,3,1,0,58.1,6460
Pinheiros,apto,1,1,1,87.6,6761
Tatuapé,casa,3,1,0,85.0,4893
Vila Mariana,apto,3,1,0,84.0,6424
Tatuapé,casa,1,2,1,20.0,2215
Itaim Bibi,kitnet,3,2,2,68.8,9461
Butantã,kitnet,2,2,1,64.2,6574
Moema,casa,1,2,2,59.3,6102
Pinheiros,kitnet,1,1,0,72.2,6462
Vila Mariana,casa,2,2,0,65.2,6901
Butantã,kitnet,1,1,1,73.6,4279
Tatuapé,apto,3,2,2,54.6,4553
Tatuapé,casa,3,1,2,90.0,5942
Moema,casa,3,2,0,75.6,7891
Pinheiros,casa,2,2,1,70.9,8259
Butantã,apto,2,2,1,69.9,5702
Itaim Bibi,apto,3,2,2,83.1,8589
Butantã,kitnet,3,2,0,80.4,6631
Butantã,apto,1,1,1,57.7,3296
Vila Mariana,casa,2,2,2,79.8,7606
Vila Mariana,casa,3,1,1,63.5,5922
Vila Mariana,casa,3,1,2,98.3,7384
Butantã,apto,3,2,1,82.0,7159
Tatuapé,apto,1,1,1,47.5,5225
Moema,apto,2,1,0,106.6,9957
Butantã,apto,1,1,2,20.0,2668
Tatuapé,apto,3,2,0,72.7,5605
Butantã,apto,2,2,2,46.1,5795
Butantã,apto,1,1,2,97.6,6764
Pinheiros,kitnet,1,2,1,65.1,4420
Moema,casa,3,1,2,44.1,7694
Itaim Bibi,apto,3,1,2,54.7,7750
Itaim Bibi,casa,3,1,2,45.7,6332
Pinheiros,apto,3,1,0,53.9,5447
Vila Mariana,casa,3,2,0,53.4,6049
Tatuapé,apto,3,1,0,45.0,4896
Itaim Bibi,apto,3,1,0,65.4,8669
Pinheiros,apto,3,2,2,67.8,8218
Tatuapé,casa,2,1,0,40.1,4760
Vila Mariana,casa,3,2,0,26.8,5726
Vila Mariana,casa,3,2,2,66.2,6923
Tatuapé,casa,1,2,0,70.6,4472
Moema,kitnet,3,2,2,74.6,9495
Tatuapé,kitnet,2,1,2,71.0,6357
Vila Mariana,casa,1,1,1,91.5,6025
Itaim Bibi,casa,1,2,2,79.9,7155
Pinheiros,casa,1,1,2,113.6,7776
Butantã,apto,3,1,0,122.0,7743
Pinheiros,casa,3,2,0,24.8,7031
Itaim Bibi,apto,1,2,1,20.0,5257
Moema,kitnet,2,1,1,59.9,6561
Moema,casa,2,2,2,70.1,8707
Pinheiros,kitnet,2,2,0,58.5,6029
Itaim Bibi,kitnet,2,1,0,74.1,7062
Pinheiros,casa,3,1,0,54.6,7541
Tatuapé,kitnet,2,2,0,46.1,3487
Itaim Bibi,casa,2,1,2,49.1,8919
Butantã,apto,2,1,1,56.0,4490
Itaim Bibi,apto,2,1,2,76.9,8799
Vila Mariana,apto,3,2,0,50.3,6321
Itaim Bibi,kitnet,2,2,0,54.2,7444
Itaim Bibi,casa,3,1,2,71.4,8432
Vila Mariana,apto,2,1,0,56.0,6166
Pinheiros,casa,3,2,0,82.3,7492
Butantã,apto,3,1,1,41.6,4790
Pinheiros,kitnet,3,2,0,37.3,7869
Tatuapé,kitnet,2,1,0,66.1,4806
Vila Mariana,apto,2,2,1,68.1,6002
Pinheiros,kitnet,2,2,1,42.7,4989
Itaim Bibi,casa,2,2,1,86.9,9999
Pinheiros,apto,3,1,1,98.5,7713
Itaim Bibi,kitnet,3,1,0,47.4,8973
Itaim Bibi,apto,3,2,0,89.7,9311
Pinheiros,apto,3,1,1,20.0,5914
Vila Mariana,apto,3,2,0,81.5,7482
Itaim Bibi,casa,2,2,1,42.8,8958
Tatuapé,casa,1,1,0,79.5,2732
Pinheiros,apto,2,1,1,40.8,5895
Butantã,apto,3,2,2,58.6,6247
Vila Mariana,apto,3,2,1,43.8,6343
Pinheiros,kitnet,2,2,1,55.7,6691
Butantã,kitnet,3,1,1,96.6,6685
Pinheiros,kitnet,1,1,1,57.8,5686
Tatuapé,casa,2,1,2,102.2,6447
Butantã,casa,3,1,0,52.3,4218
Tatuapé,kitnet,2,1,0,89.8,5800
Tatuapé,casa,3,1,2,27.5,5497
Moema,casa,2,2,1,54.3,6894
Pinheiros,apto,2,1,0,49.3,7173
Tatuapé,casa,2,2,1,90.8,7291
Butantã,apto,3,2,0,63.7,6686
Pinheiros,apto,1,1,1,20.0,5065
Butantã,kitnet,1,2,2,33.8,4338
Moema,kitnet,2,1,0,39.7,7106
Tatuapé,apto,1,2,2,78.7,6717
Pinheiros,apto,2,2,0,76.1,7529
Tatuapé,apto,2,1,0,54.0,3964
Vila Mariana,kitnet,1,2,2,49.0,5539
Vila Mariana,apto,2,1,1,74.3,6789
Itaim Bibi,apto,2,2,2,37.4,7992
Pinheiros,apto,3,1,2,69.2,7513
Moema,kitnet,1,1,2,67.5,6470
Tatuapé,casa,3,2,0,54.5,6803
Pinheiros,kitnet,2,2,0,68.0,5781
Vila Mariana,kitnet,3,1,0,62.0,5608
Moema,apto,1,2,1,69.9,6037
Tatuapé,kitnet,1,2,1,33.3,3045
Butantã,casa,2,1,2,72.3,6767
Butantã,casa,2,2,0,80.5,6841
Vila Mariana,apto,2,2,0,66.4,6133
Pinheiros,kitnet,1,1,1,72.0,6358
Pinheiros,kitnet,2,2,1,57.8,6626
Tatuapé,casa,3,2,2,77.8,5881
Pinheiros,apto,3,1,0,61.3,8514
Vila Mariana,kitnet,1,2,1,37.0,6011
Butantã,kitnet,2,2,2,76.4,6576
Butantã,casa,2,2,1,27.3,3835
Butantã,casa,2,2,2,65.7,5790
Vila Mariana,apto,3,1,1,52.3,5816
Tatuapé,apto,2,1,0,51.0,4409
Tatuapé,kitnet,3,1,2,63.4,6251
Vila Mariana,casa,3,1,1,45.8,5902
Tatuapé,apto,1,2,0,70.2,3444
Tatuapé,kitnet,3,2,0,61.1,7440
Moema,apto,1,1,0,47.7,5920
Itaim Bibi,apto,2,2,0,86.8,8568
Itaim Bibi,apto,2,2,2,64.1,7785
Tatuapé,casa,2,1,1,72.6,4029
Itaim Bibi,casa,2,1,0,88.3,7783
Itaim Bibi,apto,1,1,0,88.0,6882
Tatuapé,casa,1,2,0,71.6,5215
Vila Mariana,casa,3,1,2,53.9,7443
Itaim Bibi,casa,3,2,1,31.4,8154
Itaim Bibi,casa,3,1,0,64.1,8615
Butantã,kitnet,2,1,2,81.9,7500
Pinheiros,kitnet,3,1,2,67.1,7824
Moema,apto,2,1,0,20.0,6479
Butantã,kitnet,1,1,2,77.4,5617
Tatuapé,casa,1,2,2,78.6,3939
Butantã,apto,1,1,0,54.0,3796
Pinheiros,casa,2,1,2,79.8,6499
Pinheiros,kitnet,3,1,1,72.6,7562
Itaim Bibi,kitnet,1,2,1,46.3,5956
Moema,casa,2,1,0,85.4,8047
Tatuapé,apto,1,2,0,34.7,4324
Moema,apto,2,2,2,58.9,8729
Moema,apto,2,1,2,56.9,8601
Butantã,kitnet,1,2,0,43.5,2664
Pinheiros,casa,2,2,0,66.1,5623
Itaim Bibi,casa,1,1,1,86.2,9728
Butantã,kitnet,3,2,2,85.0,8056
Tatuapé,kitnet,3,1,2,74.5,6514
Moema,kitnet,3,2,2,26.1,7508
Pinheiros,apto,3,2,1,33.3,6553
Itaim Bibi,casa,1,1,0,63.3,4853
Moema,kitnet,3,1,2,59.3,7462
Pinheiros,kitnet,1,1,2,50.0,5512
Moema,apto,3,1,1,98.1,8371
Butantã,casa,3,1,1,62.1,5395
Vila Mariana,kitnet,3,2,0,70.8,9072
Vila Mariana,apto,3,2,1,79.8,7391
Itaim Bibi,casa,3,1,0,61.1,7955
Vila Mariana,apto,3,2,1,111.8,8749
Butantã,kitnet,1,2,0,41.2,4407
Butantã,apto,1,2,1,47.9,4055
Butantã,apto,3,2,0,41.1,6332
Butantã,apto,1,1,2,91.3,5992
Vila Mariana,apto,2,2,1,76.0,5752
Vila Mariana,casa,1,2,2,49.1,5488
Moema,apto,2,2,0,42.7,6544
Moema,casa,3,2,0,87.7,8556
Butantã,casa,3,1,0,67.2,6124
Itaim Bibi,casa,2,2,1,88.2,9054
Tatuapé,kitnet,2,2,0,58.8,5377
Butantã,casa,2,1,2,70.2,5978
Tatuapé,casa,2,1,2,66.0,5449
Moema,kitnet,2,2,2,47.5,5705
Moema,apto,3,1,0,57.1,8036
Tatuapé,kitnet,1,1,1,36.3,3880
Pinheiros,kitnet,2,2,1,69.9,6209
Itaim Bibi,apto,2,1,1,75.2,7981
Tatuapé,apto,2,2,1,79.8,6412
Itaim Bibi,casa,1,2,2,73.3,8637
Tatuapé,apto,1,1,2,57.4,4831
Itaim Bibi,casa,2,1,0,91.0,8188
Butantã,kitnet,3,1,0,77.8,6793
Tatuapé,casa,3,1,0,87.8,5888
Moema,apto,3,1,1,89.0,9000
Pinheiros,apto,3,2,1,57.5,6828
Itaim Bibi,kitnet,2,2,2,67.8,9121
Butantã,apto,1,2,0,75.5,3677
Itaim Bibi,casa,2,2,0,37.0,7364
Butantã,kitnet,3,1,0,37.5,4838
Butantã,apto,2,1,0,34.0,4793
Itaim Bibi,casa,3,2,0,57.8,7411
Tatuapé,casa,1,2,0,53.3,4172
Pinheiros,apto,1,1,2,31.3,5087
Pinheiros,casa,1,1,2,63.0,6337
Vila Mariana,casa,1,1,2,58.1,4605
Moema,apto,2,1,1,83.6,8318
Itaim Bibi,kitnet,2,1,1,100.3,7031
Moema,casa,2,1,2,69.1,7140
Pinheiros,apto,1,2,0,46.1,4032
Vila Mariana,kitnet,2,1,1,72.9,6951
Butantã,kitnet,1,1,2,60.2,5026
Butantã,apto,2,2,1,55.2,5721
Moema,apto,1,1,0,42.8,6762
Itaim Bibi,casa,1,1,1,50.7,6069
Itaim Bibi,casa,1,2,2,56.4,7681
Butantã,kitnet,1,2,0,76.1,5035
Butantã,casa,2,2,1,70.2,5738
Tatuapé,casa,2,1,0,96.5,6741
Moema,apto,2,2,0,73.5,9270
Tatuapé,casa,2,1,2,68.5,5109
Vila Mariana,kitnet,1,2,1,53.9,6083
Moema,casa,1,1,0,39.3,5733
Tatuapé,casa,3,1,1,48.6,5523
Tatuapé,apto,3,1,0,46.0,5078
Tatuapé,kitnet,1,1,2,20.0,3034
Moema,apto,1,2,2,39.8,3627
Moema,apto,1,1,0,92.0,8289
Pinheiros,apto,1,1,0,67.4,4965
Tatuapé,kitnet,1,2,2,52.5,4481
Tatuapé,casa,2,1,2,68.0,5263
Butantã,kitnet,3,1,2,20.9,4301
Tatuapé,casa,3,2,2,65.6,6661
Moema,casa,3,1,2,85.5,8831
Pinheiros,casa,2,2,1,57.6,6054
Vila Mariana,apto,2,1,2,24.6,5256
Moema,casa,2,1,2,51.7,7125
Moema,kitnet,1,1,0,85.6,7610
Moema,kitnet,2,1,0,65.2,5883
Moema,casa,1,2,1,31.6,5305
Itaim Bibi,kitnet,2,1,2,107.4,9601
Pinheiros,kitnet,1,2,2,34.9,5036
Vila Mariana,casa,3,2,0,55.1,5832
Pinheiros,casa,3,1,1,39.3,5905
Vila Mariana,apto,3,2,2,39.3,6598
Itaim Bibi,apto,1,2,0,51.0,6351
Pinheiros,kitnet,1,1,2,72.7,6114
Moema,apto,3,2,0,85.8,7851
Pinheiros,casa,3,1,0,52.3,7087
Butantã,kitnet,2,1,0,39.8,5255
Itaim Bibi,apto,1,1,2,69.6,5659
Vila Mariana,kitnet,2,1,2,70.2,5262
Vila Mariana,casa,2,1,0,64.8,6547
Pinheiros,apto,3,2,1,65.5,8821
Moema,apto,2,1,0,57.7,5029
Itaim Bibi,kitnet,1,1,2,62.0,7611
Tatuapé,kitnet,3,1,2,56.4,7101
Butantã,kitnet,3,2,2,81.4,6452
Moema,kitnet,1,2,1,104.6,9401
Vila Mariana,apto,1,2,0,63.6,5265
Moema,kitnet,1,2,0,59.9,6748
Vila Mariana,apto,3,2,2,65.1,6878
Butantã,apto,2,2,1,46.8,5906
